,acousticness,album_names,artist_name,audio_mode,audio_valence,danceability,energy,instrumentalness,key,liveness,loudness,song_duration_ms,song_name,song_popularity,speechiness,tempo,time_signature,yt_max_views
8676,0.18100000000000002,Celebrate Life,Alice Pisano,1.0,0.247,0.442,0.39,2.8000000000000013e-05,8.0,0.127,-7.916,235236.0,Celebrate Life,35.0,0.0285,99.15700000000001,4.0,17000.0
8677,0.634,Hozier,Hozier,0.0,0.4370000000000001,0.5660000000000001,0.664,0.0,4.0,0.11599999999999999,-5.303,241688.0,Take Me To Church,42.0,0.0464,128.945,4.0,445000000.0
8678,0.18600000000000005,Havana,Camila Cabello,0.0,0.418,0.768,0.517,3.8e-05,7.0,0.10400000000000001,-4.323,216896.0,Havana,37.0,0.0312,104.992,4.0,1700000000.0
8679,0.209,Despacito (Featuring Daddy Yankee),Luis Fonsi,1.0,0.846,0.66,0.7859999999999999,0.0,2.0,0.11199999999999999,-4.757,228200.0,Despacito (Featuring Daddy Yankee),45.0,0.17,177.833,4.0,7300000000.0
8680,0.07400000000000001,All This Bad Blood,Bastille,1.0,0.581,0.682,0.7140000000000001,0.0,9.0,0.278,-6.306,214147.0,Pompeii,41.0,0.0399,127.443,4.0,617000000.0
8681,0.00683,Evolve,Imagine Dragons,1.0,0.298,0.6,0.81,0.21,0.0,0.155,-4.749,187146.0,Thunder,34.0,0.0479,167.88,4.0,1600000000.0
8682,0.0524,Evolve,Imagine Dragons,0.0,0.708,0.779,0.787,0.0,10.0,0.14,-4.305,204346.0,Believer,30.0,0.10800000000000001,124.98200000000001,4.0,1800000000.0
8683,0.23199999999999998,Stay,Zedd,0.0,0.498,0.679,0.634,0.0,5.0,0.115,-5.024,210090.0,Stay (with Alessia Cara),44.0,0.0654,102.01299999999999,4.0,436000000.0
8684,0.838,Rock Steady,No Doubt,1.0,0.47700000000000004,0.665,0.253,0.0,4.0,0.168,-7.3260000000000005,226866.0,Underneath It All - Acoustic Live - German Radio,57.0,0.0505,142.252,4.0,30000.0
8685,0.0408,Dangerous Woman,Ariana Grande,0.0,0.603,0.648,0.738,0.0,6.0,0.292,-5.882999999999999,226160.0,Side To Side,43.0,0.247,159.145,4.0,1800000000.0
